Column1,Overall rank,Country,Score, Region,iso_a3,democracy index,regime
112,113,Namibia,4.638999999999999,Africa,NAM,6.44,3
99,100,Nepal,4.913,Asia,NPL,5.28,2
4,5,Netherlands,7.4879999999999995,Europe,NLD,9.01,4
7,8,New Zealand,7.307,Oceania,NZL,9.26,4
44,45,Nicaragua,6.105,North America,NIC,3.55,1
113,114,Niger,4.628,Africa,NER,3.3,1
84,85,Nigeria,5.265,Africa,NGA,4.12,2
63,64,Northern Cyprus,5.718,Asia,CYP,6,2
2,3,Norway,7.553999999999999,Europe,NOR,9.87,4
66,67,Pakistan,5.653,Asia,PAK,4.24,2
109,110,Palestine,4.696000000000001,Asia,PSE,3.89,1
30,31,Panama,6.321000000000001,North America,PAN,7.05,3
62,63,Paraguay,5.742999999999999,South America,PRY,6.24,3
64,65,Peru,5.697,South America,PER,6.6,3
68,69,Philippines,5.631,Asia,PHL,6.64,3
39,40,Poland,6.182,Europe,POL,6.62,3
65,66,Portugal,5.693,Europe,PRT,8.03,4
28,29,Qatar,6.374,Asia,QAT,3.19,1
47,48,Romania,6.07,Europe,ROU,6.49,3
67,68,Russia,5.648,Asia,RUS,3.12,1
151,152,Rwanda,3.3339999999999996,Africa,RWA,3.16,1
155,156,S. Sudan,2.853,Africa,SSD,3,1
27,28,Saudi Arabia,6.375,Asia,SAU,1.94,1
110,111,Senegal,4.681,Africa,SEN,5.8,2
69,70,Serbia,5.603,Europe,SRB,6.41,3
128,129,Sierra Leone,4.374,Africa,SLE,4.86,2
33,34,Singapore,6.2620000000000005,Asia,SGP,6.02,3
37,38,Slovakia,6.1979999999999995,Europe,SVK,7.17,3
43,44,Slovenia,6.117999999999999,Europe,SVN,7.51,3
111,112,Somalia,4.668,Africa,SOM,3,1
105,106,South Africa,4.7219999999999995,Africa,ZAF,7.24,3
53,54,South Korea,5.895,Asia,KOR,8,3
29,30,Spain,6.354,Europe,ESP,8.29,4
129,130,Sri Lanka,4.3660000000000005,Asia,LKA,6.27,3
134,135,Swaziland,4.212,Africa,SWZ,4,1
6,7,Sweden,7.343,Europe,SWE,9.39,4
5,6,Switzerland,7.48,Europe,CHE,9.03,4
148,149,Syria,3.4619999999999997,Asia,SYR,1.43,1
24,25,Taiwan,6.446000000000001,Asia,TWN,7.73,3
73,74,Tajikistan,5.4670000000000005,Asia,TJK,1.93,1
152,153,Tanzania,3.2310000000000003,Africa,TZA,5.16,2
51,52,Thailand,6.007999999999999,Asia,THA,6.32,3
138,139,Togo,4.085,Africa,TGO,3.31,1
38,39,Trinidad & Tobago,6.192,North America,TTO,7.16,3
123,124,Tunisia,4.461,Africa,TUN,6.72,3
78,79,Turkey,5.372999999999999,Asia,TUR,4.09,2
86,87,Turkmenistan,5.247000000000001,Asia,TKM,1.72,1
135,136,Uganda,4.189,Africa,UGA,5.02,2
132,133,Ukraine,4.332,Europe,UKR,5.9,2
20,21,United Arab Emirates,6.825,Asia,ARE,2.76,1
14,15,United Kingdom,7.053999999999999,Europe,GBR,8.52,4
18,19,United States of America,6.892,North America,USA,7.97,3
32,33,Uruguay,6.292999999999999,South America,URY,8.38,4
40,41,Uzbekistan,6.1739999999999995,Asia,UZB,2.01,1
107,108,Venezuela,4.707,South America,VEN,2.88,1
93,94,Vietnam,5.175,Asia,VNM,3.08,1
150,151,Yemen,3.38,Asia,YEM,1.95,1
137,138,Zambia,4.107,Africa,ZMB,5.09,2
145,146,Zimbabwe,3.6630000000000003,Africa,ZWE,3.16,1
